n,divAndConTime,bruteForceTime
196,0.011065900001995033,0.08967510000002221
197,0.009938099999999395,0.09732349999831058
198,0.008819599999696948,0.08847080000123242
199,0.009660499999881722,0.0917236999994202
200,0.012905899999168469,0.0981761999973969
201,0.009101099996769335,0.09599659999730648
202,0.011761500001739478,0.09320959999968181
203,0.010456199997861404,0.09595719999924768
204,0.009596299998520408,0.09697800000139978
205,0.012700700001005316,0.10554229999979725
206,0.010273699997924268,0.0987728000000061
207,0.010572300001513213,0.14617790000193054
208,0.008759799999097595,0.10063699999955134
209,0.013070900000457186,0.10892819999935455
210,0.012761900001351023,0.1159044999985781
211,0.015604299998813076,0.10172089999832679
212,0.012800900000002002,0.09944719999839435
213,0.010703500000090571,0.10405290000198875
214,0.009180000000924338,0.10389280000163126
215,0.01021019999825512,0.10613889999876847
216,0.010274199998093536,0.10612119999859715
217,0.01136420000329963,0.1034947000007378
218,0.012367899998935172,0.10749059999943711
219,0.011666200000036042,0.1219946000019263
220,0.01443499999732012,0.1107966999989003
221,0.012882300001365365,0.11416129999997793
222,0.01084410000112257,0.11240230000112206
223,0.011739099998521851,0.1140895000025921
224,0.01735489999919082,0.12087909999900148
225,0.0159127000006265,0.11052819999895291
226,0.014526899998600129,0.12510430000111228
227,0.01333130000057281,0.12869399999908637
228,0.012412700001732446,0.1260495999995328
229,0.016700100000889506,0.1253333000022394
230,0.015041599999676691,0.12813420000020415
231,0.013157200002751779,0.1299838999984786
232,0.01628070000151638,0.15017429999716114
233,0.014356100000441074,0.12388360000113607
234,0.016799600001832005,0.1358817000000272
235,0.017764799998985836,0.13102640000215615
236,0.013523300000088057,0.13785070000085398
237,0.01563230000101612,0.13750190000064322
238,0.011886199998116354,0.1444883000003756
239,0.0153731999998854,0.151909500000329
240,0.014341199999762466,0.12789709999924526
241,0.013493099999323022,0.1327662000003329
242,0.016599200000200653,0.13375950000045123
243,0.01383949999944889,0.18395819999932428
244,0.017000899999402463,0.13804760000130045
245,0.015832299999601673,0.15131660000042757
246,0.015236200000799727,0.1526272000010067
247,0.020416999999724794,0.14915430000110064
248,0.013395599999057595,0.1479191999969771
249,0.019219199999497505,0.16018980000080774
250,0.016636899999866728,0.1596955999993952
251,0.013835300000209827,0.15130839999983436
252,0.015533200003119418,0.15992650000043795
253,0.013969499999802792,0.16264370000135386
254,0.014419499999348773,0.16040630000134115
255,0.016736999998101965,0.1531926999996358
256,0.014806099999987055,0.15655519999927492
257,0.014682599998195656,0.1498237000014342
258,0.018565900001703994,0.16315269999904558
259,0.016048999998020008,0.1539185000001453
260,0.015905000000202563,0.1536551999997755
261,0.019023799999558832,0.16635279999900376
262,0.014132899999822257,0.15440890000172658
263,0.015553099998214748,0.1559132000002137
264,0.01920619999873452,0.16112140000041109
265,0.019405799997912254,0.1576113000010082
266,0.020548099997540703,0.1777180999997654
267,0.02125480000177049,0.1801064999999653
268,0.02046899999913876,0.17891550000058487
269,0.01797699999951874,0.16946309999912046
270,0.015426199999637902,0.17809499999930267
271,0.019151600001350744,0.18171090000032564
272,0.02250819999972009,0.21151049999753013
273,0.018986800001584925,0.1766143999993801
274,0.01793090000137454,0.1776577000018733
275,0.02177550000124029,0.18458660000032978
276,0.017631999999139225,0.19486959999994724
277,0.020760999999765772,0.179509000001417
278,0.01983990000007907,0.1727567000016279
279,0.020884499997919193,0.18440389999886975
280,0.023510800001531607,0.19256279999899562
281,0.01666019999902346,0.17632210000010673
282,0.016928599998209393,0.1924284999986412
283,0.019735199999558972,0.19990739999775542
284,0.020137999999860767,0.19950520000202232
285,0.02067249999890919,0.20217159999810974
286,0.024150199998985045,0.19551030000002356
287,0.015075499999511521,0.18498730000283103
288,0.018916900000476744,0.19638929999928223
289,0.018740599996817764,0.1966272999998182
290,0.020958799999789335,0.19459199999982957
291,0.022925200002646307,0.2126745999994455
292,0.02269719999821973,0.21509710000100313
293,0.018747999998595333,0.20916339999894262
294,0.015980299998773262,0.19370109999726992
